,Spotify,TED,NYTimes,Gigaword
and,109.63299784327822,46.72112960161372,9.784542194736314,6.480051537523633
for,32.27570093457944,8.877962682803833,3.605571716339972,2.575169436595915
but,27.477354421279657,8.21381744831064,1.7303678802882858,1.1056750108323377
with,26.766714593817397,7.714069591527988,2.6881138658093247,1.865468087107893
as,23.147375988497483,5.538073625819465,1.9901592858166752,1.375454241765221
so,18.072609633357295,10.77811396873424,0.5036380626171417,0.2792628805583259
when,11.773903666427032,4.207261724659607,0.8010102076999103,0.5052795684846261
or,11.662832494608196,4.333837619768028,1.0434196387480883,0.6132907593856042
if,9.533069734004313,4.748865355521937,0.5685277136196433,0.37453834090609683
after,7.607476635514018,0.9606656580937972,0.5686845313091098,0.5957383725398645
then,6.907260963335729,2.8910741301059,0.32388888469750354,0.0
because,6.337526959022286,3.7695410993444276,0.3633832311772967,0.21598592803641894
also,4.960819554277498,1.83761976802824,0.6072056381078841,0.5313739839398886
before,4.393601725377426,0.8769541099344428,0.32209491188570305,0.26567828357039924
still,4.2451473759884975,0.8033282904689864,0.0,0.0
while,0.0,0.0,0.28891961773128455,0.24576460406198233
since,0.0,0.0,0.0,0.2614324324899046
