Marker,Spotify,TED,NYTimes,Gigaword
as,34.24490500345169,32.20609315378248,39.98101532518442,37.44960444491507
when,16.56549209112465,24.134380488986697,16.08056229470032,13.413276249439763
after,10.496893477804123,5.348165795158588,11.599930672131539,16.764439635926056
then,9.557433142239697,15.610425793947226,6.294325011101734,4.675989504871282
before,6.305714800252123,5.150309906926975,6.4767897670717005,7.127177439487711
next,5.399270642614881,4.461852173386364,4.307603244979651,4.695156476175007
later,3.8910316054866887,2.4671417899901074,2.7471589487031265,3.030945498614887
once,3.120403997959,2.440895600734893,2.65664330620036,1.9767679175310542
until,2.672809676741603,2.0189376350164543,3.386969932908193,2.9742486435303706
eventually,1.5588888555392142,0.8641053077870424,0.7100893895629056,0.5562880018789668
at the time,1.1281778071254915,0.706628172255759,0.516064878435913,0.4786057954808039
upon,0.8197766905783834,0.6359653550301831,0.5735263669352981,0.4780840333366294
earlier,0.7706276075276886,0.6198138539500515,1.5606282711596604,2.788672645087402
ultimately,0.5875378935678482,0.5047344087541136,0.3748258275286064,0.26766982058254707
meanwhile,0.47685866074376443,0.1191173204659708,0.44873773682837576,1.107934656923187
at the same time,0.27050754869886245,0.7671963013062526,0.45522285145890934,0.382928635729637
previously,0.2652549749377195,0.12719307100603663,0.41416579003912457,0.518820418055688
