Marker,Spotify,TED,NYTimes,Gigaword
but,63.15013284771771,73.43025441784685,58.79304646036991,55.011943629369505
still,9.687434695644386,7.375610978819401,9.183326939116037,9.76509706220376
while,7.932053616741798,4.098257927058529,9.505732833664446,12.216788281144646
though,3.9555781114726694,1.7671387391903748,3.8166286188063063,2.8740204650513497
however,3.669582350658268,1.0308309311943853,3.196551502083919,4.913155062456818
yet,2.959070961578649,3.759869657851861,4.011759140523906,3.642837987699416
despite,2.0855599008866466,0.8647700213059281,2.154883620710319,3.4573516019474573
although,1.741051437442159,0.9305677403183357,3.7682476514694194,3.4419789750944463
even though,1.2329462339911037,1.2501566612357438,1.0477964827529107,0.973991530489384
even if,0.9696390721557154,0.9775661110414839,0.9983012242561491,0.8998079279531598
instead of,0.7087201838970654,1.4412833688432134,1.1228297398091271,0.9703957011257611
regardless,0.38451204585485266,0.24752475247524752,0.24976965917331775,0.26652214231409177
by the way,0.29674299190972325,1.131094122070435,0.09314696684115689,0.07510355075920187
on the other hand,0.25912768307609635,0.42298533650833436,0.1723005098141194,0.11554841727654001
nevertheless,0.21912410066573126,0.10652964030580273,0.3297524420792103,0.2742723410338597
whereas,0.13135504672060183,0.3916530893595689,0.11006864422251048,0.0998654904276832
nonetheless,0.06090097620682449,0.15666123574382754,0.36239080756437847,0.232272323949107
in contrast,0.03462996686270412,0.11906253916530894,0.24492378831525785,0.17062849183323267
